A,C_KSWCK,C_SAC007,C_SAC022,C_SAC029A,C_SAC041,C_SAC062,C_SAC063,C_SAC065,C_SAC075,C_SAC083,C_SAC093,C_SAC120,C_SAC122,C_SAC148,C_SAC159,C_SAC169,C_SAC185,C_SAC193,C_SAC207,C_SAC217,C_SAC240,C_SAC247,C_SAC257,C_SAC269,C_SAC287,C_YBP002,SP_SAC083_YBP037
1923-06-30,8193.201,7009.836,7515.6836,7515.6836,12533.496,12381.243,12481.824,8053.4004,8325.623,8554.039,3659.477,4091.4395,4283.291,5006.6934,5012.2783,5161.0796,6387.1904,6381.7207,6324.6943,8159.24,7975.2144,9005.751,8932.483,9137.149,8258.017,228.81721,0.0
1923-07-31,9995.536,10277.049,10922.382,10922.382,18107.111,17988.363,18098.553,12815.914,13033.464,13407.024,3652.6113,4228.052,4603.1025,5600.3955,5634.354,6033.3696,6599.468,6629.0444,6717.3965,9187.667,9105.038,10420.385,10353.245,10336.8955,9687.758,252.84259,0.0
1923-08-31,8493.035,8602.104,9120.999,9120.999,15434.039,15287.796,15436.182,13815.54,13989.264,14217.644,4161.623,4510.148,4713.0117,5330.7744,5354.0264,5533.057,5926.5815,5942.5615,6001.605,7703.215,7615.349,8845.201,8777.321,8869.742,8273.395,153.72424,0.0
1923-09-30,6124.487,8976.414,9126.879,9126.879,15442.764,15243.224,15337.75,12315.195,12315.655,12136.335,6576.373,5129.934,5129.934,5176.0796,5172.0874,5236.725,5699.9585,5673.8823,5578.853,6392.4087,6194.2144,6713.4414,6640.503,6947.974,6166.0825,231.18079,0.0
1923-10-31,5802.9707,5128.9316,5348.991,5348.991,9836.758,9630.719,9748.443,8308.797,8385.972,8374.531,5493.3525,5086.517,5141.769,5277.2856,5282.01,5288.6167,5867.1943,5868.882,5884.606,6608.677,6355.535,6596.394,6520.142,6687.284,5949.077,56.05182,0.0
1923-11-30,4922.0854,5120.116,5562.706,5562.706,9165.39,8907.973,8959.095,7002.212,6993.541,7014.2607,4671.432,4509.943,4692.062,4708.4043,4709.416,4706.401,5331.795,5329.514,5343.5947,6148.855,5817.492,5839.1445,5751.4976,5854.824,5175.569,96.86528,0.0
1923-12-31,3935.767,5709.202,6037.093,6037.093,9222.943,8869.424,8912.845,6935.967,6920.894,6903.5596,4840.268,4537.898,4626.917,4375.5376,4373.3193,4365.754,4845.063,4836.175,4828.711,5296.482,4930.0894,4931.63,4842.8633,4927.132,4196.4,104.03359,0.0
1924-01-31,3250.0,10228.379,10277.602,10277.602,13105.512,12583.862,12626.624,11178.602,11155.516,11094.9,5410.534,4652.284,4741.4014,4619.1924,4621.194,4624.0825,5238.409,5195.2007,5169.2173,5057.429,4576.846,4613.4204,4520.018,4389.5654,3518.763,246.93997,0.0
1924-02-29,3250.0,14680.514,14107.3,14107.3,17566.43,16595.557,16637.945,15132.162,15088.469,14885.874,9402.511,8060.8623,7999.521,7939.7964,7981.446,8089.4395,7404.8345,7389.217,7300.706,7069.361,6043.7383,6060.9697,5929.528,5402.074,3543.4807,320.0332,0.0
1924-03-31,4875.669,6755.9404,6800.7163,6800.7163,9055.558,8709.651,8751.946,7842.285,7839.4326,7755.9478,6314.768,5879.875,6058.2266,6100.0317,6099.592,6169.216,6356.8306,6353.7915,6294.1274,6229.106,5745.8433,5743.3433,5654.8887,5966.5386,5053.952,73.8644,0.0
1924-04-30,5613.5273,6345.224,6734.198,6734.198,8978.076,8773.924,8824.755,7930.0103,8036.529,8067.089,4765.033,4803.6094,4875.1343,5102.7314,5102.3315,5142.7466,5965.104,5975.1094,5943.8906,6279.629,6150.227,6208.747,6130.368,6392.8086,5579.7026,251.35753,0.0
1924-05-31,7713.245,4818.717,5271.1465,5271.1465,7273.881,7089.0986,7186.5957,6271.589,6457.917,6667.589,3572.4082,3271.5798,3705.215,4275.0547,4292.909,4610.1807,5640.438,5667.1323,5806.049,8020.4873,7939.38,8037.022,7970.507,8197.191,7613.7637,183.63531,0.0
1924-06-30,10741.946,4082.947,4616.014,4616.014,8382.295,8211.425,8349.639,7979.7114,8251.82,8585.731,5266.734,5772.227,6189.541,6839.3633,6909.8027,7361.5864,8459.75,8506.466,8714.09,10888.441,10847.35,10982.203,10919.561,11183.78,10655.604,253.89362,0.0
1924-07-31,11783.029,5033.993,5621.8228,5621.8228,10241.612,10224.22,10394.321,10038.674,10223.027,10582.507,5912.3955,6528.191,6926.5234,7759.9473,7841.7266,8294.742,9236.724,9283.248,9511.932,11775.368,11753.545,11942.549,11883.878,12099.818,11558.15,256.3842,0.0
1924-08-31,8072.2964,3617.933,4128.986,4128.986,8026.392,7990.085,8138.4707,7770.5093,7886.3687,8084.7573,4195.571,4498.8657,4760.745,5317.8755,5341.9873,5619.3027,6474.471,6481.9653,6600.775,8121.3745,8074.214,8376.978,8316.262,8520.255,7936.4263,197.05505,0.0
1924-09-30,4542.7837,3483.7527,3775.8657,3775.8657,7502.3975,7428.9126,7578.9253,7091.3267,7113.235,7013.2397,4301.994,3251.1409,3282.5308,3351.178,3343.937,3470.529,4140.694,4129.309,4139.7344,4992.4297,4910.1167,4993.7188,4928.028,5098.807,4529.3438,202.52171,0.0
1924-10-31,3825.7673,3783.4143,3746.706,3746.706,7459.1274,7322.2144,7434.178,6914.7466,6948.964,6857.1104,4345.2563,3584.3308,3639.2654,3679.3447,3675.9958,3673.383,4483.109,4444.1553,4480.1416,4997.906,4626.9253,4629.107,4561.8438,4817.4136,4032.0405,111.402054,0.0
1924-11-30,3352.3528,3812.2556,4026.1045,4026.1045,7076.0063,6620.6187,6668.257,6158.894,6150.9165,6139.607,4272.3037,3872.9006,6210.8535,6273.3564,6308.9116,6351.999,5039.297,5008.9272,5022.125,5692.092,5165.899,5154.96,5070.0986,4698.6514,3601.7234,113.033554,0.0
1924-12-31,3263.7244,7471.042,6852.558,6852.558,10274.978,9512.419,9553.066,8898.219,8821.104,8632.719,7282.107,5363.3784,5149.696,5270.759,5265.935,5441.919,6181.4624,6081.3833,6012.3975,6311.616,5436.221,5415.7563,5302.6504,5033.4243,3531.6897,332.859,0.0
1925-01-31,3250.0,9042.396,9191.645,9191.645,11840.564,11517.317,11557.244,11098.662,11105.349,11121.202,6178.519,5468.7017,4712.47,4835.419,4835.9824,5116.242,6073.613,6075.4336,6077.183,5977.926,5319.1934,5337.873,5237.6523,4585.599,3509.901,100.21144,0.0
1925-02-28,3250.0,62127.867,43990.094,43990.094,52374.58,49563.69,49604.324,42088.08,42474.6,42221.86,21464.508,21146.252,19924.744,25769.902,34761.332,36242.11,30820.182,30636.924,28449.787,27451.193,22281.232,22284.207,21933.516,14855.283,3864.7188,17090.613,12384.694
1925-03-31,3250.0,14544.481,14034.954,14034.954,17482.16,16882.22,16927.988,15111.053,15101.441,14816.601,9597.124,8891.879,8326.624,8313.654,8246.038,8211.214,8770.09,8686.249,8443.342,8217.802,6880.5293,6880.4985,6753.792,5784.9,3617.598,477.1663,0.0
